price,bed,bath,acre_lot,zip_code,house_size,year,month
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
949900.0,5.0,5.0,5.04,7830.0,4508.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
440000.0,4.0,2.0,0.2,8724.0,1600.0,2000,1
825000.0,4.0,4.0,1.0,8755.0,3514.0,2000,1
440000.0,4.0,2.0,0.2,8724.0,1600.0,2000,1
440000.0,4.0,2.0,0.2,8724.0,1600.0,2000,1
324900.0,2.0,3.0,0.18,8723.0,1442.0,2000,1
859000.0,5.0,4.0,0.69,7726.0,4180.0,2000,1
949900.0,5.0,5.0,5.04,7830.0,4508.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
949900.0,5.0,5.0,5.04,7830.0,4508.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
292000.0,3.0,3.0,0.2,8085.0,1636.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
451000.0,4.0,3.0,0.29,8016.0,2085.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
949900.0,5.0,5.0,5.04,7830.0,4508.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
289000.0,1.0,1.0,0.13,7866.0,915.0,2000,1
292000.0,3.0,3.0,0.2,8085.0,1636.0,2000,1
268000.0,2.0,2.0,0.19,8731.0,1224.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
451000.0,4.0,3.0,0.29,8016.0,2085.0,2000,1
825000.0,4.0,4.0,1.0,8755.0,3514.0,2000,1
451000.0,4.0,3.0,0.29,8016.0,2085.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
451000.0,4.0,3.0,0.29,8016.0,2085.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
292000.0,3.0,3.0,0.2,8085.0,1636.0,2000,1
154900.0,4.0,1.0,0.22,8302.0,1008.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
292000.0,3.0,3.0,0.2,8085.0,1636.0,2000,1
300000.0,4.0,3.0,0.24,8012.0,2092.0,2000,1
430000.0,4.0,3.0,0.22,8081.0,2774.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
430000.0,4.0,3.0,0.22,8081.0,2774.0,2000,1
300000.0,4.0,3.0,0.24,8012.0,2092.0,2000,1
430000.0,4.0,3.0,0.22,8081.0,2774.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
451000.0,4.0,3.0,0.29,8016.0,2085.0,2000,1
430000.0,4.0,3.0,0.22,8081.0,2774.0,2000,1
268000.0,2.0,2.0,0.19,8731.0,1224.0,2000,1
825000.0,4.0,4.0,1.0,8755.0,3514.0,2000,1
154900.0,4.0,1.0,0.22,8302.0,1008.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
292000.0,3.0,3.0,0.2,8085.0,1636.0,2000,1
154900.0,4.0,1.0,0.22,8302.0,1008.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
154900.0,4.0,1.0,0.22,8302.0,1008.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
199000.0,3.0,2.0,0.18,8332.0,1435.0,2000,1
859000.0,5.0,4.0,0.69,7726.0,4180.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
451000.0,4.0,3.0,0.29,8016.0,2085.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
189900.0,3.0,1.0,2.39,8060.0,959.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
749900.0,5.0,3.0,0.39,8690.0,3100.0,2000,1
324900.0,2.0,3.0,0.18,8723.0,1442.0,2000,1
268000.0,2.0,2.0,0.19,8731.0,1224.0,2000,1
825000.0,4.0,4.0,1.0,8755.0,3514.0,2000,1
825000.0,4.0,4.0,1.0,8755.0,3514.0,2000,1
440000.0,4.0,2.0,0.2,8724.0,1600.0,2000,1
268000.0,2.0,2.0,0.19,8731.0,1224.0,2000,1
440000.0,4.0,2.0,0.2,8724.0,1600.0,2000,1
825000.0,4.0,4.0,1.0,8755.0,3514.0,2000,1
440000.0,4.0,2.0,0.2,8724.0,1600.0,2000,1
324900.0,2.0,3.0,0.18,8723.0,1442.0,2000,1
825000.0,4.0,4.0,1.0,8755.0,3514.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
949900.0,5.0,5.0,5.04,7830.0,4508.0,2000,1
425000.0,3.0,2.0,0.31,8816.0,1336.0,2000,1
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
949900.0,3.0,2.0,0.27,7755.0,2209.0,2000,2
439000.0,4.0,2.0,0.31,8527.0,1771.0,2000,2
949900.0,3.0,2.0,0.27,7755.0,2209.0,2000,2
439000.0,4.0,2.0,0.31,8527.0,1771.0,2000,2
949900.0,3.0,2.0,0.27,7755.0,2209.0,2000,2
949900.0,3.0,2.0,0.27,7755.0,2209.0,2000,2
949900.0,3.0,2.0,0.27,7755.0,2209.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
599000.0,4.0,2.0,0.11,7032.0,2040.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
1599000.0,3.0,3.0,0.12,8008.0,2229.0,2000,2
899000.0,3.0,4.0,0.41,7040.0,2648.0,2000,2
229900.0,3.0,1.0,0.11,8055.0,1440.0,2000,2
349000.0,4.0,2.0,0.23,8628.0,1824.0,2000,2
865000.0,4.0,3.0,0.27,8536.0,2629.0,2000,2
425000.0,3.0,2.0,0.19,8022.0,2093.0,2000,2
175000.0,4.0,2.0,0.3,8091.0,2000.0,2000,2
329000.0,4.0,2.0,0.98,8053.0,1656.0,2000,2
865000.0,4.0,3.0,0.27,8536.0,2629.0,2000,2
425000.0,3.0,2.0,0.19,8022.0,2093.0,2000,2
150000.0,3.0,1.0,0.16,8302.0,1604.0,2000,2
230000.0,2.0,1.0,0.12,8088.0,1077.0,2000,2
229900.0,3.0,1.0,0.11,8055.0,1440.0,2000,2
399900.0,3.0,2.0,0.23,8757.0,1500.0,2000,2
425000.0,3.0,2.0,0.19,8022.0,2093.0,2000,2
649900.0,4.0,4.0,0.21,8232.0,4061.0,2000,2
329000.0,4.0,2.0,0.98,8053.0,1656.0,2000,2
1599000.0,3.0,3.0,0.12,8008.0,2229.0,2000,2
215000.0,2.0,1.0,0.12,8109.0,1398.0,2000,2
329000.0,4.0,2.0,0.98,8053.0,1656.0,2000,2
230000.0,2.0,1.0,0.12,8088.0,1077.0,2000,2
425000.0,3.0,2.0,0.19,8022.0,2093.0,2000,2
150000.0,3.0,1.0,0.16,8302.0,1604.0,2000,2
229900.0,3.0,1.0,0.11,8055.0,1440.0,2000,2
229900.0,3.0,1.0,0.11,8055.0,1440.0,2000,2
150000.0,3.0,1.0,0.16,8302.0,1604.0,2000,2
175000.0,4.0,2.0,0.3,8091.0,2000.0,2000,2
230000.0,2.0,1.0,0.12,8088.0,1077.0,2000,2
215000.0,2.0,1.0,0.12,8109.0,1398.0,2000,2
